operator,tenure_type,tenure_no,field,reservoir,basin,period,metric,value,date_str,date_parsed,time_period,year,half_year,fractional_year
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,Gas used in production (Mm3),0.47,30/6/2011,2011-06-30,H1 2011,2011,0,2011
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,Water (ML),62.519,30/6/2011,2011-06-30,H1 2011,2011,0,2011
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 30/6/2011,No. of wells producing petroleum,9,30/6/2011,2011-06-30,H1 2011,2011,0,2011
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,Total gas produced (Mm3),3.08,31/12/2011,2011-12-31,H2 2011,2011,0.5,2011.5
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,Gas flared or vented (Mm3),0.01,31/12/2011,2011-12-31,H2 2011,2011,0.5,2011.5
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,Gas used in production (Mm3),0.49,31/12/2011,2011-12-31,H2 2011,2011,0.5,2011.5
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,Water (ML),10.24,31/12/2011,2011-12-31,H2 2011,2011,0.5,2011.5
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 31/12/2011,No. of wells producing petroleum,8,31/12/2011,2011-12-31,H2 2011,2011,0.5,2011.5
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,Total gas produced (Mm3),2.93,30/06/2012,2012-06-30,H1 2012,2012,NA,NA
Westside Corporation Ltd,PL,94,Dawson River,Baralaba CM,Bowen,Production for 6-month period ending 30/06/2012,Gas flared or vented (Mm3),0,30/06/2012,2012-06-30,H1 2012,2012,NA,NA
